FECHA (YYMMDD);HORA (HHMM);;
180815;0500;103,8;
180815;0600;100,818;
180815;0700;115,425;
180815;0800;278,637;
180815;0900;305,606;
180815;1000;291,994;
180815;1100;268,504;
180815;1200;286,515;
180815;1300;292,649;
180815;1400;293,533;
180815;1500;291,005;
180815;1600;294,286;
180815;1700;76,0975;
180815;1800;57,8132;
180815;1900;71,4532;
180815;2000;71,8629;
180815;2100;75,6417;
180815;2200;119,452;
180815;2300;216,966;
180816;0000;133,68;
180816;0100;96,0557;
180816;0200;151,225;
180816;0300;193,033;
180816;0400;128,207;
180816;0500;184,104;
180816;0600;211,756;
180816;0700;172,892;
180816;0800;101,371;
180816;0900;104,527;
180816;1000;266,875;
180816;1100;268,6;
180816;1200;289,769;
180816;1300;274,424;
180816;1400;256,792;
180816;1500;263,544;
180816;1600;248,694;
180816;1700;229,481;
180816;1800;280,643;
180816;1900;105,442;
180816;2000;61,6559;
180816;2100;77,1636;
180816;2200;56,1814;
180816;2300;118,652;
180817;0000;97,2257;
180817;0100;104,847;
180817;0200;91,8488;
180817;0300;102,335;
180817;0400;144,848;
180817;0500;149,981;
180817;0600;70,6881;
180817;0700;273,964;
180817;0800;98,299;
180817;0900;200,495;
180817;1000;198,504;
180817;1100;249,059;
180817;1200;272,647;
180817;1300;277,639;
180817;1400;269,43;
180817;1500;278,256;
180817;1600;265,215;
180817;1700;347,358;
180817;1800;60,1643;
180817;1900;83,286;
180817;2000;106,748;
180817;2100;117,087;
180817;2200;165,519;
180817;2300;91,3411;
180818;0000;112,014;
180818;0100;179,099;
180818;0200;99,0242;
180818;0300;126,075;
180818;0400;88,5612;
180818;0500;106,873;
180818;0600;209,036;
180818;0700;225,139;
180818;0800;213,559;
180818;0900;212,289;
180818;1000;194,156;
180818;1100;217,672;
180818;1200;221,912;
180818;1300;217,494;
180818;1400;214,209;
180818;1500;216,125;
180818;1600;216,92;
180818;1700;;
180818;1800;;
180818;1900;;
180818;2000;197,441;
180818;2100;194,583;
180818;2200;350,526;
180818;2300;231,902;
180819;0000;136,748;
180819;0100;135,893;
180819;0200;101,53;
180819;0300;136,925;
180819;0400;118,871;
180819;0500;120,805;
180819;0600;190,083;
180819;0700;103,642;
180819;0800;18,7641;
180819;0900;69,0782;
180819;1000;289,722;
180819;1100;256,972;
180819;1200;272,997;
180819;1300;265,772;
180819;1400;279,749;
180819;1500;248,337;
180819;1600;284,866;
180819;1700;296,761;
180819;1800;60,089;
180819;1900;79,2151;
180819;2000;89,3573;
180819;2100;68,2369;
180819;2200;85,0559;
180819;2300;91,2046;
180820;0000;104,078;
180820;0100;95,5374;
180820;0200;92,0759;
180820;0300;136,717;
180820;0400;107,108;
180820;0500;113,181;
180820;0600;116,955;
180820;0700;91,6901;
180820;0800;83,4144;
180820;0900;285,201;
180820;1000;274,17;
180820;1100;292,796;
180820;1200;293,665;
180820;1300;296,606;
180820;1400;290,573;
180820;1500;287,45;
180820;1600;293,222;
180820;1700;299,416;
180820;1800;286,35;
180820;1900;108,343;
180820;2000;150,796;
180820;2100;131,645;
180820;2200;118,321;
180820;2300;118,174;
180821;0000;138,368;
180821;0100;212,866;
180821;0200;100,017;
180821;0300;116,203;
180821;0400;116,247;
180821;0500;79,1271;
180821;0600;138,03;
180821;0700;77,0532;
180821;0800;75,2933;
180821;0900;74,417;
180821;1000;92,2131;
180821;1100;92,9467;
180821;1200;48,8781;
180821;1300;275,332;
180821;1400;279,793;
180821;1500;303,993;
180821;1600;261,281;
180821;1700;243,172;
180821;1800;262,307;
180821;1900;207,919;
180821;2000;196,504;
180821;2100;209,914;
180821;2200;141,742;
180821;2300;223,524;
180822;0000;141,021;
180822;0100;106,184;
180822;0200;273,927;
180822;0300;139,354;
180822;0400;108,464;
180822;0500;95,2324;
180822;0600;91,7297;
180822;0700;106,561;
180822;0800;89,7042;
180822;0900;55,81;
180822;1000;278,678;
180822;1100;260,467;
180822;1200;270,399;
180822;1300;53,3416;
180822;1400;275,211;
180822;1500;291,509;
180822;1600;297,888;
180822;1700;287,296;
180822;1800;268,947;
180822;1900;56,3248;
180822;2000;55,7741;
180822;2100;146,385;
180822;2200;108,086;
180822;2300;89,6089;
180823;0000;201,124;
180823;0100;56,7341;
180823;0200;168,91;
180823;0300;101,816;
180823;0400;63,1121;
180823;0500;137,754;
180823;0600;102,096;
180823;0700;199,133;
180823;0800;147,219;
180823;0900;74,6702;
180823;1000;263,453;
180823;1100;272,735;
180823;1200;281,366;
180823;1300;275,212;
180823;1400;268,681;
180823;1500;234,835;
180823;1600;129,398;
180823;1700;95,8206;
180823;1800;156,996;
180823;1900;209,074;
180823;2000;206,813;
180823;2100;204,511;
180823;2200;204,251;
180823;2300;216,288;
180824;0000;169,915;
180824;0100;105,574;
180824;0200;109,657;
180824;0300;130,307;
180824;0400;115,791;
180824;0500;169,196;
180824;0600;161,019;
180824;0700;107,709;
180824;0800;31,0616;
180824;0900;224,268;
180824;1000;212,004;
180824;1100;190,511;
180824;1200;219,381;
180824;1300;224,408;
180824;1400;219,188;
180824;1500;212,196;
180824;1600;214,665;
180824;1700;210,419;
180824;1800;209,647;
180824;1900;194,269;
180824;2000;204,923;
180824;2100;109,177;
180824;2200;124,994;
180824;2300;101,051;
180825;0000;99,1414;
180825;0100;92,1038;
180825;0200;116,047;
180825;0300;103,339;
180825;0400;107,784;
180825;0500;162,766;
180825;0600;158,887;
180825;0700;135,528;
180825;0800;62,2102;
180825;0900;27,0086;
180825;1000;58,4213;
180825;1100;220,898;
180825;1200;223,642;
180825;1300;222,699;
180825;1400;214,929;
180825;1500;203,705;
180825;1600;207,365;
180825;1700;200,265;
180825;1800;181,875;
180825;1900;88,4539;
180825;2000;86,8309;
180825;2100;104,936;
180825;2200;109,501;
180825;2300;102,937;
180826;0000;219,439;
180826;0100;99,3604;
180826;0200;173,424;
180826;0300;132,009;
180826;0400;134,964;
180826;0500;193,981;
180826;0600;224,372;
180826;0700;177,075;
180826;0800;254,177;
180826;0900;299,574;
180826;1000;301,373;
180826;1100;274,636;
180826;1200;269,966;
180826;1300;241,695;
180826;1400;295,079;
180826;1500;288,422;
180826;1600;291,984;
180826;1700;242,373;
180826;1800;107,903;
180826;1900;60,8647;
180826;2000;72,425;
180826;2100;91,1823;
180826;2200;74,1346;
180826;2300;90,3416;
180827;0000;123,119;
180827;0100;86,2688;
180827;0200;76,5159;
180827;0300;96,7759;
180827;0400;107,292;
180827;0500;91,6554;
180827;0600;111,345;
180827;0700;117,571;
180827;0800;101,593;
180827;0900;69,0262;
180827;1000;5,25526;
180827;1100;270,859;
180827;1200;258,665;
180827;1300;268,593;
180827;1400;264,295;
180827;1500;265,479;
180827;1600;228,558;
180827;1700;269,998;
180827;1800;224,025;
180827;1900;195,074;
180827;2000;195,726;
180827;2100;203,504;
180827;2200;207,507;
180827;2300;174,192;
180828;0000;92,0013;
180828;0100;89,7365;
180828;0200;86,1505;
180828;0300;93,9875;
180828;0400;140,207;
180828;0500;215,938;
180828;0600;205,131;
180828;0700;204,065;
180828;0800;245,034;
180828;0900;240,257;
180828;1000;238,808;
180828;1100;284,538;
180828;1200;282,727;
180828;1300;256,672;
180828;1400;255,722;
180828;1500;234,138;
180828;1600;244,124;
180828;1700;238,308;
180828;1800;228,607;
180828;1900;236,123;
180828;2000;239,127;
180828;2100;20,7974;
180828;2200;285,563;
180828;2300;109,711;
180829;0000;212,889;
180829;0100;114,008;
180829;0200;79,7461;
180829;0300;129,888;
180829;0400;93,0818;
180829;0500;62,4251;
180829;0600;90,9492;
180829;0700;101,825;
180829;0800;76,0829;
180829;0900;66,9886;
180829;1000;228,206;
180829;1100;213,44;
180829;1200;276,026;
180829;1300;276,127;
180829;1400;281,454;
180829;1500;269,912;
180829;1600;283,557;
180829;1700;291,973;
