FECHA (YYMMDD);HORA (HHMM);;
180814;1700;201,047;
180814;1800;189,042;
180814;1900;179,553;
180814;2000;185,586;
180814;2100;50,8107;
180814;2200;80,5886;
180814;2300;29,6623;
180815;0000;36,9275;
180815;0100;45,7434;
180815;0200;337,67;
180815;0300;47,0889;
180815;0400;57,4267;
180815;0500;38,8953;
180815;0600;256,745;
180815;0700;70,593;
180815;0800;38,4168;
180815;0900;70,7312;
180815;1000;224,373;
180815;1100;231,002;
180815;1200;228,05;
180815;1300;214,925;
180815;1400;207,649;
180815;1500;211,82;
180815;1600;217,607;
180815;1700;212,03;
180815;1800;205,255;
180815;1900;54,8736;
180815;2000;39,3279;
180815;2100;34,8419;
180815;2200;62,2587;
180815;2300;52,5027;
180816;0000;119,454;
180816;0100;45,6287;
180816;0200;59,6141;
180816;0300;66,8236;
180816;0400;87,9374;
180816;0500;70,5961;
180816;0600;266,507;
180816;0700;300,646;
180816;0800;94,1814;
180816;0900;44,1386;
180816;1000;218,075;
180816;1100;212,398;
180816;1200;236,764;
180816;1300;260,064;
180816;1400;253,745;
180816;1500;237,13;
180816;1600;225,998;
180816;1700;226,001;
180816;1800;198,626;
180816;1900;69,1547;
180816;2000;54,2474;
180816;2100;42,5166;
180816;2200;53,7216;
180816;2300;69,6179;
180817;0000;305,823;
180817;0100;241,925;
180817;0200;211,395;
180817;0300;209,917;
180817;0400;218,342;
180817;0500;160,38;
180817;0600;132,779;
180817;0700;198,311;
180817;0800;122,48;
180817;0900;192,626;
180817;1000;200,901;
180817;1100;230,537;
180817;1200;248,156;
180817;1300;243,571;
180817;1400;233,762;
180817;1500;256,932;
180817;1600;227,043;
180817;1700;197,296;
180817;1800;39,5929;
180817;1900;40,9409;
180817;2000;61,7277;
180817;2100;26,7993;
180817;2200;285,879;
180817;2300;180,93;
180818;0000;106,556;
180818;0100;191,851;
180818;0200;190,198;
180818;0300;193,799;
180818;0400;194,641;
180818;0500;195,86;
180818;0600;194,548;
180818;0700;194,886;
180818;0800;195,044;
180818;0900;195,622;
180818;1000;199,927;
180818;1100;205,793;
180818;1200;206,097;
180818;1300;203,674;
180818;1400;204,367;
180818;1500;203,331;
180818;1600;199,849;
180818;1700;196,802;
180818;1800;195,862;
180818;1900;191,702;
180818;2000;182,26;
180818;2100;186,621;
180818;2200;174,78;
180818;2300;192,722;
180819;0000;186,096;
180819;0100;192,922;
180819;0200;192,706;
180819;0300;188,68;
180819;0400;196,803;
180819;0500;177,051;
180819;0600;176,998;
180819;0700;198,883;
180819;0800;191,441;
180819;0900;187,675;
180819;1000;200,514;
180819;1100;207,465;
180819;1200;209,856;
180819;1300;212,713;
180819;1400;213,147;
180819;1500;213,743;
180819;1600;212,691;
180819;1700;209,353;
180819;1800;194,064;
180819;1900;41,2029;
180819;2000;31,0179;
180819;2100;33,9906;
180819;2200;33,2509;
180819;2300;44,2591;
180820;0000;44,7924;
180820;0100;36,9725;
180820;0200;61,264;
180820;0300;50,6035;
180820;0400;51,6933;
180820;0500;67,627;
180820;0600;56,4408;
180820;0700;70,1975;
180820;0800;72,0579;
180820;0900;7,05022;
180820;1000;283,93;
180820;1100;288,682;
180820;1200;89,5306;
180820;1300;280,812;
180820;1400;295,068;
180820;1500;148,026;
180820;1600;299,157;
180820;1700;307,338;
180820;1800;312,036;
180820;1900;311,141;
180820;2000;306,131;
180820;2100;57,1743;
180820;2200;89,0676;
180820;2300;128,111;
180821;0000;107,693;
180821;0100;158,274;
180821;0200;129,4;
180821;0300;122,174;
180821;0400;161,798;
180821;0500;110,399;
180821;0600;107,522;
180821;0700;74,4061;
180821;0800;52,3277;
180821;0900;40,9273;
180821;1000;69,8575;
180821;1100;59,5306;
180821;1200;327,193;
180821;1300;296,867;
180821;1400;328,037;
180821;1500;344,474;
180821;1600;302,491;
180821;1700;257,085;
180821;1800;244,529;
180821;1900;172,995;
180821;2000;131,194;
180821;2100;213,843;
180821;2200;166,951;
180821;2300;246,264;
180822;0000;73,7266;
180822;0100;85,6471;
180822;0200;244,724;
180822;0300;270,557;
180822;0400;269,106;
180822;0500;277,132;
180822;0600;116,417;
180822;0700;87,7637;
180822;0800;78,3239;
180822;0900;53,8183;
180822;1000;329,145;
180822;1100;292,406;
180822;1200;273,663;
180822;1300;33,1537;
180822;1400;292,614;
180822;1500;306,388;
180822;1600;303,17;
180822;1700;290,12;
180822;1800;278,657;
180822;1900;300,167;
180822;2000;53,0653;
180822;2100;49,2118;
180822;2200;39,7446;
180822;2300;54,686;
180823;0000;74,1351;
180823;0100;88,6078;
180823;0200;137,835;
180823;0300;98,3853;
180823;0400;48,5323;
180823;0500;40,6581;
180823;0600;91,0959;
180823;0700;208,749;
180823;0800;94,111;
180823;0900;250,993;
180823;1000;295,748;
180823;1100;303,468;
180823;1200;356,041;
180823;1300;279,116;
180823;1400;310,49;
180823;1500;207,62;
180823;1600;180,61;
180823;1700;129,813;
180823;1800;142,77;
180823;1900;164,366;
180823;2000;169,038;
180823;2100;163,685;
180823;2200;167,185;
180823;2300;173,206;
180824;0000;166,191;
180824;0100;159,704;
180824;0200;171,041;
180824;0300;163,582;
180824;0400;171,898;
180824;0500;165,003;
180824;0600;169,164;
180824;0700;170,458;
180824;0800;174,393;
180824;0900;174,736;
180824;1000;177,75;
180824;1100;195,419;
180824;1200;202,973;
180824;1300;202,508;
180824;1400;202,69;
180824;1500;202,866;
180824;1600;202,472;
180824;1700;200,088;
180824;1800;199,313;
180824;1900;193,07;
180824;2000;194,407;
180824;2100;188,777;
180824;2200;182,913;
180824;2300;191,765;
180825;0000;189,479;
180825;0100;180,749;
180825;0200;190,107;
180825;0300;199,076;
180825;0400;201,472;
180825;0500;201,547;
180825;0600;199,338;
180825;0700;192,348;
180825;0800;196,101;
180825;0900;215,144;
180825;1000;215,022;
180825;1100;211,235;
180825;1200;202,598;
180825;1300;209,119;
180825;1400;209,794;
180825;1500;209,601;
180825;1600;210,173;
180825;1700;207,196;
180825;1800;205,64;
180825;1900;190,81;
180825;2000;162,754;
180825;2100;54,5895;
180825;2200;39,7988;
180825;2300;36,9035;
180826;0000;58,0409;
180826;0100;27,4066;
180826;0200;70,7609;
180826;0300;84,1663;
180826;0400;48,4233;
180826;0500;48,418;
180826;0600;168,223;
180826;0700;291,349;
180826;0800;279,972;
180826;0900;151,022;
180826;1000;272,285;
180826;1100;160,081;
180826;1200;143,433;
180826;1300;76,0229;
180826;1400;163,171;
180826;1500;90,9883;
180826;1600;133,274;
180826;1700;67,0817;
180826;1800;59,5861;
180826;1900;66,236;
180826;2000;42,7806;
180826;2100;60,7021;
180826;2200;50,8644;
180826;2300;82,7374;
180827;0000;91,6381;
180827;0100;71,8121;
180827;0200;57,3131;
180827;0300;78,942;
180827;0400;83,0695;
180827;0500;74,6265;
180827;0600;78,3898;
180827;0700;96,7701;
180827;0800;67,0104;
180827;0900;53,9566;
180827;1000;143,121;
180827;1100;24,4986;
180827;1200;313,472;
180827;1300;302,244;
180827;1400;281,066;
180827;1500;274,794;
180827;1600;214,968;
180827;1700;227,562;
180827;1800;207,767;
180827;1900;191,83;
180827;2000;194,384;
180827;2100;210,402;
180827;2200;196,291;
180827;2300;200,927;
180828;0000;199,031;
180828;0100;185,603;
180828;0200;224,273;
180828;0300;221,4;
180828;0400;199,737;
180828;0500;197,478;
180828;0600;199,7;
180828;0700;188,864;
180828;0800;181,219;
180828;0900;145,978;
180828;1000;220,76;
180828;1100;228,618;
180828;1200;253,475;
180828;1300;237,279;
180828;1400;220,9;
180828;1500;219,096;
180828;1600;222,915;
180828;1700;224,921;
180828;1800;221,944;
180828;1900;226,561;
180828;2000;251,62;
180828;2100;277,538;
180828;2200;201,173;
180828;2300;210,328;
180829;0000;199,278;
180829;0100;172,893;
180829;0200;133,111;
180829;0300;224,152;
180829;0400;200,129;
180829;0500;206,829;
180829;0600;167,487;
180829;0700;197,743;
180829;0800;202,953;
180829;0900;213,99;
180829;1000;215,556;
180829;1100;207,26;
180829;1200;217,937;
180829;1300;227,734;
180829;1400;247,431;
180829;1500;237,857;
180829;1600;251,636;
180829;1700;272,648;
180829;1800;282,543;
180829;1900;336,795;
180829;2000;131,773;
180829;2100;41,5957;
180829;2200;302,635;
180829;2300;295,357;
180830;0000;308,042;
180830;0100;77,2472;
180830;0200;92,7491;
180830;0300;57,1562;
180830;0400;78,3334;
180830;0500;277,391;
180830;0600;260,602;
180830;0700;89,0031;
180830;0800;56,9461;
180830;0900;58,9701;
180830;1000;80,309;
180830;1100;108,521;
180830;1200;147,592;
180830;1300;146,389;
180830;1400;225,451;
180830;1500;213,42;
180830;1600;183,801;
180830;1700;73,955;
180830;1800;49,3662;
180830;1900;40,5615;
180830;2000;42,7402;
180830;2100;57,9554;
180830;2200;294,316;
180830;2300;358,972;
